,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time,cluster
5223,1712707320.459793,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0002610683441162,0.0578181743621826,1
5224,1712707320.46543,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,34.0,26.0,,0,0.0056369304656982,0.0058979988098144,1
5225,1712707320.473452,1,2607:f8b0:4023:1004::5f,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65049.0,32.0,0.0,,0,0.0080220699310302,0.0080220699310302,1
5226,1712707320.473664,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2607:f8b0:4023:1004::5f,65049.0,443.0,32.0,0.0,,0,0.0002119541168212,0.0409340858459472,1
5227,1712707320.498626,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,1233.0,1225.0,,0,0.0249619483947753,0.0251739025115966,2
5228,1712707320.49864,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,976.0,968.0,,0,1.4066696166992188e-05,1.4066696166992188e-05,2
5229,1712707320.499092,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,46.0,38.0,,0,0.0004520416259765,0.0392990112304687,1
5230,1712707320.500314,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0012218952178955,0.0012218952178955,1
5231,1712707320.505446,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,34.0,26.0,,0,0.0051319599151611,0.0068058967590332,1
5232,1712707320.565883,4,,,,,,,,0,0.0604369640350341,,0
5233,1712707321.796748,4,,,,,,,,0,1.2308650016784668,,0
5234,1712707321.895629,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:3b2::,65022.0,443.0,75.0,43.0,,0,0.0988810062408447,30.0040819644928,1
5235,1712707321.901604,1,2600:1901:1:3b2::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65022.0,32.0,0.0,,0,0.0059750080108642,1.39615797996521,1
5236,1712707321.948045,1,2600:1901:1:3b2::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65022.0,72.0,40.0,,0,0.0464410781860351,0.0464410781860351,1
5237,1712707321.948352,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:3b2::,65022.0,443.0,32.0,0.0,,0,0.0003070831298828,0.0527231693267822,1
5238,1712707322.513075,1,192.168.1.81,18.65.3.92,65050.0,443.0,40.0,0.0,,0,0.564723014831543,15.041285037994385,1
5239,1712707322.521302,1,18.65.3.92,192.168.1.81,443.0,65050.0,52.0,0.0,,0,0.0082268714904785,2.1169559955596924,1
5240,1712707322.716102,4,,,,,,,,0,0.1947999000549316,,0
5241,1712707322.775664,3,fe80::813:7ec4:1375:15d9,fe80::82ab:4dff:febf:19e1,,,32.0,,,0,0.0595622062683105,13.263931035995483,0
5242,1712707322.783701,3,fe80::82ab:4dff:febf:19e1,fe80::813:7ec4:1375:15d9,,,24.0,,,0,0.0080368518829345,6.03495192527771,1
5243,1712707323.389016,2,192.168.1.81,192.168.1.255,57621.0,57621.0,72.0,44.0,,0,0.6053149700164795,3.001534938812256,0
5244,1712707323.486925,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,65033.0,443.0,466.0,434.0,,0,0.0979089736938476,3.029700994491577,1
5245,1712707323.492443,1,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65033.0,32.0,0.0,,0,0.0055181980133056,1.544398069381714,1
5246,1712707323.566685,1,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65033.0,818.0,786.0,,0,0.0742418766021728,0.0742418766021728,2
