,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
93,1713821926.683886,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,52560.0,53.0,49.0,41.0,guc3-dealer.spotify.com.,1,5.793571472167969e-05,5.793571472167969e-05
94,1713821926.683953,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,50281.0,53.0,49.0,41.0,guc3-dealer.spotify.com.,1,6.699562072753906e-05,6.699562072753906e-05
95,1713821926.684088,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,55049.0,53.0,51.0,43.0,guc3-spclient.spotify.com.,1,0.00013494491577148438,0.00013494491577148438
96,1713821926.684137,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,54465.0,53.0,51.0,43.0,guc3-spclient.spotify.com.,1,4.9114227294921875e-05,4.9114227294921875e-05
97,1713821926.684173,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,54487.0,53.0,51.0,43.0,guc3-spclient.spotify.com.,1,3.600120544433594e-05,3.600120544433594e-05
98,1713821926.687103,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,56693.0,53.0,40.0,32.0,www.google.com.,0,0.0029299259185791016,0.0029299259185791016
99,1713821926.687209,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,65020.0,53.0,48.0,40.0,www.googleoptimize.com.,0,0.00010585784912109375,0.00010585784912109375
100,1713821926.687257,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59354.0,53.0,48.0,40.0,www.googleoptimize.com.,0,4.8160552978515625e-05,4.8160552978515625e-05
101,1713821926.687305,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,63329.0,53.0,48.0,40.0,www.googleoptimize.com.,0,4.792213439941406e-05,4.792213439941406e-05
102,1713821926.6882,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2620:149:a43:113::5,60398.0,443.0,45.0,37.0,,0,0.0008950233459472656,
103,1713821926.688213,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2620:149:a43:113::5,60398.0,443.0,560.0,552.0,,0,1.3113021850585938e-05,1.3113021850585938e-05
104,1713821926.690382,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,64209.0,137.0,129.0,apresolve.spotify.com.,1,0.002168893814086914,0.0200040340423584
105,1713821926.693411,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,59421.0,63.0,55.0,apresolve.spotify.com.,1,0.0030291080474853516,0.0030291080474853516
106,1713821926.694013,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,62253.0,75.0,67.0,apresolve.spotify.com.,1,0.0006020069122314453,0.0006020069122314453
107,1713821926.694278,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54526.0,443.0,44.0,0.0,,0,0.00026488304138183594,0.043237924575805664
108,1713821926.698295,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,60518.0,98.0,90.0,spclient.wg.spotify.com.,1,0.0040171146392822266,0.0042819976806640625
109,1713821926.698364,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,52587.0,147.0,139.0,clienttoken.spotify.com.,1,6.890296936035156e-05,6.890296936035156e-05
110,1713821926.698835,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,55348.0,164.0,156.0,api.spotify.com.,1,0.00047087669372558594,0.00047087669372558594
111,1713821926.699254,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54527.0,443.0,44.0,0.0,,0,0.0004191398620605469,0.004976034164428711
112,1713821926.699435,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,60903.0,98.0,90.0,clienttoken.spotify.com.,1,0.00018095970153808594,0.0006000995635986328
113,1713821926.699502,58.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,,,146.0,,clienttoken.spotify.com.,1,6.699562072753906e-05,0.012197017669677734
114,1713821926.699553,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54528.0,443.0,44.0,0.0,,0,5.1021575927734375e-05,0.0002989768981933594
115,1713821926.699918,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54529.0,443.0,44.0,0.0,,0,0.0003650188446044922,0.0003650188446044922
116,1713821926.700061,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,52866.0,167.0,159.0,exp.wg.spotify.com.,1,0.0001430511474609375,0.0006260871887207031
117,1713821926.700555,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,59266.0,110.0,102.0,clienttoken.spotify.com.,1,0.0004940032958984375,0.0004940032958984375
